Date,Open,High,Low,Close,Volume
2010-06-10,42.30059252331272,43.00870873776097,42.10679370294407,42.81490707397461,2147800
2010-06-11,42.30059741200868,43.418674876643266,42.09189052850399,43.388858795166016,1275200
2010-06-14,43.61991986084678,44.17895847396584,43.50065840378475,43.75408935546875,1517600
2010-06-15,43.77645509248918,44.290769652874665,43.63483298428911,44.21623229980469,1496100
2010-06-16,44.04479831894994,44.42494340537619,43.83609143568987,44.18642044067383,1350600
2010-06-17,44.42494662268735,44.45476270628897,43.58266358657831,44.23114776611328,901300
2010-06-18,44.30568229514313,44.37276705724273,43.880813082985,44.022438049316406,1470200
2010-06-21,44.39512761530333,44.53674972888609,43.73918807836942,44.0597038269043,1172200
2010-06-22,44.16405857689867,44.26095941719066,42.77018950742193,42.926719665527344,1150400
2010-06-23,42.91927461255307,43.20251889794428,42.48694989787419,42.82982635498047,791600
2010-06-24,42.59130588036202,43.14289212775828,42.3527828661957,42.47949981689453,1035800
2010-06-25,42.54658017859992,42.74783164064748,42.196248293890584,42.65838623046875,1735700
2010-06-28,42.82236809578238,42.94908217880257,42.211152633573995,42.41240692138672,707200
2010-06-29,42.099346985484125,42.21115587956186,41.38377802495787,41.69683837890625,1822000
2010-06-30,41.62975461509129,42.442224447183975,41.34651033852199,41.48813247680664,1530900
2010-07-01,41.42103567915113,41.94280564021609,40.63838215926246,41.53284454345703,1849500
2010-07-02,41.54775705531654,41.726647845367296,40.62347849532816,41.03343963623047,1178800
2010-07-06,41.50303690752949,41.7564679205338,41.063259645063724,41.47322082519531,1811400
2010-07-07,41.47322062528606,42.20369757844376,41.21978961350334,42.03971481323242,1666900
2010-07-08,42.151508775813326,42.52420116612718,41.97261802077636,42.33040237426758,1015600
2010-07-09,42.32295988075533,42.74782910820738,42.24842251725847,42.53166961669922,870300
2010-07-12,42.330420145761636,42.941635695008344,42.18134255836569,42.45713424682617,758100
2010-07-13,43.00871670173656,43.38140921588779,42.792554361108465,43.239784240722656,1174100
2010-07-14,43.41868544233606,44.08207777783849,43.37396130923682,43.791378021240234,1519900
2010-07-15,43.71681904177627,43.91807043273511,43.01615551985543,43.664642333984375,1062100
2010-07-16,43.61246712824355,43.70936795669095,42.75527624095538,42.82236099243164,1313400
2010-07-19,42.89690065285782,43.57520080170326,42.63601707384718,43.418670654296875,1420300
2010-07-20,42.87453788218803,43.76154485010434,42.49439000778274,43.71682357788086,1178500
2010-07-21,43.746649543746805,43.88081908630169,42.658388003840244,42.94163513183594,1271000
2010-07-22,43.37395324264584,44.35040864140652,43.37395324264584,44.27587127685547,2351300
2010-07-23,44.19388492641146,45.461040212834845,43.746652143511,45.37904739379883,2295600
2010-07-26,45.505752707502566,46.52692933949252,45.46848402698373,46.28840637207031,2236900
2010-07-27,46.340582837338786,46.5567451639385,45.505752455975475,45.61756134033203,2145900
2010-07-28,47.66737837517936,48.785453197276745,47.36177059367509,48.35313415527344,8449600
2010-07-29,48.561828192691024,48.77799049976278,47.69718180782182,48.174224853515625,2441500
2010-07-30,47.77918336925064,48.84508428072511,47.555568409822236,48.59910583496094,1668500
2010-08-02,48.71090709641071,49.4041153523067,48.46492868922657,49.35939407348633,1542400
2010-08-03,49.2475797149254,49.69480951392035,48.76307839649945,49.51591873168945,1445600
2010-08-04,49.612817705651125,50.216583348775096,49.41156628250017,50.104774475097656,1437900
2010-08-05,50.015321575833795,50.33583728418166,49.67990067290848,50.20166778564453,1204300
2010-08-06,49.635192613159575,50.380577736193686,49.426485688603975,49.85881042480469,1757300
2010-08-09,50.21658674136858,50.68617721833635,50.112233302042405,50.51473617553711,1148000
2010-08-10,49.94079266877385,50.283669070348104,48.986700823204465,49.344482421875,2405600
2010-08-11,48.77800372866276,48.85254110276978,47.861177535318795,48.43512725830078,2375900
2010-08-12,47.94317268360202,48.59165981221665,47.756826395856855,48.3680419921875,1492500
2010-08-13,48.107153257677716,48.435124509338955,47.928262432606495,48.15187454223633,1390700
2010-08-16,47.93571613846097,48.584203252176685,47.570479015186194,48.345680236816406,1129600
2010-08-17,48.80034850540292,49.79916150472737,48.51709861431936,49.411563873291016,1771300
2010-08-18,48.86744161972541,49.568105380226086,48.5916527932755,49.18050765991211,1196900
2010-08-19,48.93453218943499,48.97179803175178,47.883536485139174,48.59165573120117,2001000
2010-08-20,48.517114473310336,49.46375675530893,48.1667882457151,49.31468200683594,1917400
2010-08-23,49.67245235714414,50.16440915129082,49.06869237054214,49.0910530090332,1398700
2010-08-24,48.76308156881038,48.956883246155726,48.17422678187183,48.55437469482422,1932200
2010-08-25,48.3307695016195,48.76309424545728,48.211510836982654,48.53948211669922,1914800
2010-08-26,48.792904377169044,49.232684510999256,48.36803512887156,48.3829460144043,1615700
2010-08-27,48.651278922461024,49.49356765487961,48.15932775459256,49.135780334472656,1415200
2010-08-30,48.90471866873295,49.173057769571756,48.35313526671416,48.37549591064453,1082800
2010-08-31,48.08476539686331,48.79287854011658,47.995317191541744,48.44254684448242,2367200
2010-09-01,49.16090585924156,49.96154751388441,48.794258371099666,49.66224670410156,2064900
2010-09-02,49.85678918540805,50.36560853493043,49.83434219641096,50.30575180053711,973900
2010-09-03,50.83701708470113,51.03904569028172,50.36560749035197,50.55267333984375,1323700
2010-09-07,50.47036153087394,50.6424646161663,49.976510680063356,50.17853927612305,1132700
2010-09-08,50.35065261159344,51.19618832841306,50.2758274018497,50.63499069213867,1276700
2010-09-09,50.97172078445684,51.13633398848543,50.48534828077644,50.649967193603516,1121600
2010-09-10,50.82203974045761,50.919317618827336,50.37308292187603,50.50777053833008,1065200
2010-09-13,50.92681002760347,51.173738343232856,50.500300077333286,50.88191604614258,1550100
2010-09-14,50.66491895441954,51.188706809584644,50.42547487196605,50.88191604614258,2079600
2010-09-15,50.76966815848955,51.16624682841495,50.46288314750434,51.03904342651367,864200
2010-09-16,50.777156423174,50.95673804651979,50.51526536646204,50.76218795776367,940700
2010-09-17,51.0614856932725,51.32337670497328,50.77714769611107,51.21862030029297,1536800
2010-09-20,51.47304153442383,52.06417032343353,51.37576934463623,51.47304153442383,1153200
2010-09-21,51.5852717205395,51.99681309424016,51.3982059028222,51.510440826416016,1298100
2010-09-22,51.51792118018121,51.921984001095,50.67987003351138,50.9417610168457,1556300
2010-09-23,50.58259742703873,50.98666029001067,49.95405900161296,50.21595001220703,1262800
2010-09-24,50.7472156898575,51.56282563794839,50.71728447344358,51.33086013793945,1499200
2010-09-27,51.330865761353074,51.68255045674976,51.091421712605865,51.39821243286133,1022700
2010-09-28,51.58526986025771,52.326048873241284,51.18869125440585,51.936954498291016,1846000
2010-09-29,51.7349366904422,52.07165297383411,51.30094250075687,52.05669021606445,1467900
2010-09-30,52.21380135563943,53.029411152433696,51.94442616667938,52.31855773925781,2352200
2010-10-01,52.685235917703494,52.81243934293611,51.734938073206955,52.10906982421875,1964100
2010-10-04,52.19137536126894,52.281169029960644,51.43562768230567,52.03424072265625,1530800
2010-10-05,52.34102221373663,54.12937127166392,52.34102221373663,53.04439163208008,4105700
2010-10-06,53.16411308507817,53.740273350367566,53.11921340227905,53.20152282714844,1919200
2010-10-07,53.24642250994756,53.35865744495464,52.77501294773268,53.20152282714844,1475300
2010-10-08,53.29132059725633,53.79265570830461,52.78998548620806,53.283836364746094,1696800
2010-10-11,53.15665974414095,53.568201398851286,52.790012089522754,53.216522216796875,1159900
2010-10-12,53.20153830441526,53.31377898087142,52.53558418858611,52.849853515625,1232900
2010-10-13,52.92466376675293,53.87495561079545,52.902211073193364,53.500823974609375,1427100
2010-10-14,53.02192825315311,54.16676998056681,53.02192825315311,53.91984176635742,2683900
2010-10-15,54.33889010150841,54.615743905564386,54.017136611521636,54.05454635620117,2495100
2010-10-18,53.97224262724828,53.97224262724828,53.45594470927388,53.69538879394531,1089400
2010-10-19,53.343700952733535,54.05454893228523,53.09677264913463,53.65048599243164,2100300
2010-10-20,53.80015140477126,54.49603674779079,53.72532619011498,54.144351959228516,1216600
2010-10-21,54.39875388282838,54.4137223496769,53.68042161162969,54.174278259277344,1048100
2010-10-22,54.271541391597715,54.2865098559455,53.76272207090609,54.26405715942383,685800
2010-10-25,54.413727991154545,54.86268499360077,54.33890277554651,54.458621978759766,1325800
2010-10-26,54.20418956290784,54.7204873034823,53.747748541336506,53.859989166259766,1699100
2010-10-27,52.06416708795034,53.65796602414601,51.742413607821085,53.49334716796875,1570600
